checkpoint,name,iteration,device,vs_random_avg_profit,vs_random_completed_games,vs_random_invalid_state_games,vs_random_invalid_state_count,vs_random_non_zero_sum_games,vs_random_setup_errors,vs_random_requested_games,vs_random_sanitized_actions,vs_random_agent_actions,vs_random_agent_fold_actions,vs_random_agent_check_call_actions,vs_random_agent_raise_actions,vs_random_agent_fold_rate,vs_random_agent_check_call_rate,vs_random_agent_raise_rate,vs_random_agent_preflop_actions,vs_random_agent_preflop_folds,vs_random_agent_preflop_fold_rate,vs_checkpoint_pool_avg_profit,vs_checkpoint_pool_completed_games,vs_checkpoint_pool_invalid_state_games,vs_checkpoint_pool_invalid_state_count,vs_checkpoint_pool_non_zero_sum_games,vs_checkpoint_pool_setup_errors,vs_checkpoint_pool_requested_games,vs_checkpoint_pool_sanitized_actions,vs_checkpoint_pool_agent_actions,vs_checkpoint_pool_agent_fold_actions,vs_checkpoint_pool_agent_check_call_actions,vs_checkpoint_pool_agent_raise_actions,vs_checkpoint_pool_agent_fold_rate,vs_checkpoint_pool_agent_check_call_rate,vs_checkpoint_pool_agent_raise_rate,vs_checkpoint_pool_agent_preflop_actions,vs_checkpoint_pool_agent_preflop_folds,vs_checkpoint_pool_agent_preflop_fold_rate
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31100.pt,*checkpoint_iter_mixed_iter_31100.pt,31100,cpu,-20.694231289313603,100,0,0,0,0,100,0,181,93,44,44,0.5138121546961326,0.2430939226519337,0.2430939226519337,154,80,0.5194805194805194,-0.9609454005244991,100,0,0,0,0,100,0,173,88,47,38,0.5086705202312138,0.27167630057803466,0.21965317919075145,163,83,0.50920245398773
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31200.pt,*checkpoint_iter_mixed_iter_31200.pt,31200,cpu,-10.3323649079559,100,0,0,0,0,100,0,192,90,52,50,0.46875,0.2708333333333333,0.2604166666666667,153,70,0.45751633986928103,2.4672853884845556,100,0,0,0,0,100,0,164,89,44,31,0.5426829268292683,0.2682926829268293,0.18902439024390244,158,84,0.5316455696202531
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31300.pt,*checkpoint_iter_mixed_iter_31300.pt,31300,cpu,-13.955668696009434,100,0,0,0,0,100,0,181,90,52,39,0.4972375690607735,0.287292817679558,0.2154696132596685,150,77,0.5133333333333333,-11.803381367893218,100,0,0,0,0,100,0,167,94,41,32,0.562874251497006,0.24550898203592814,0.19161676646706588,157,88,0.5605095541401274
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31400.pt,*checkpoint_iter_mixed_iter_31400.pt,31400,cpu,-7.77321013744157,100,0,0,0,0,100,0,155,95,23,37,0.6129032258064516,0.14838709677419354,0.23870967741935484,133,83,0.6240601503759399,2.5153158860073335,100,0,0,0,0,100,0,155,91,35,29,0.5870967741935483,0.22580645161290322,0.1870967741935484,149,88,0.5906040268456376
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31500.pt,*checkpoint_iter_mixed_iter_31500.pt,31500,cpu,-7.272306221122157,100,0,0,0,0,100,0,133,96,16,21,0.7218045112781954,0.12030075187969924,0.15789473684210525,116,89,0.7672413793103449,-5.633501576780827,100,0,0,0,0,100,0,136,98,22,16,0.7205882352941176,0.16176470588235295,0.11764705882352941,128,94,0.734375
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31600.pt,*checkpoint_iter_mixed_iter_31600.pt,31600,cpu,-2.2641615026041593,100,0,0,0,0,100,0,153,92,36,25,0.6013071895424836,0.23529411764705882,0.16339869281045752,130,81,0.6230769230769231,-4.46076043715577,100,0,0,0,0,100,0,139,96,28,15,0.6906474820143885,0.2014388489208633,0.1079136690647482,135,93,0.6888888888888889
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31700.pt,*checkpoint_iter_mixed_iter_31700.pt,31700,cpu,-3.1066783530862834,100,0,0,0,0,100,0,128,94,12,22,0.734375,0.09375,0.171875,115,89,0.7739130434782608,-3.954900888320732,100,0,0,0,0,100,0,132,97,19,16,0.7348484848484849,0.14393939393939395,0.12121212121212122,128,95,0.7421875
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31800.pt,*checkpoint_iter_mixed_iter_31800.pt,31800,cpu,-0.08410157148331279,100,0,0,0,0,100,0,131,93,23,15,0.7099236641221374,0.17557251908396945,0.11450381679389313,116,88,0.7586206896551724,-4.52643953138273,100,0,0,0,0,100,0,129,98,13,18,0.7596899224806202,0.10077519379844961,0.13953488372093023,127,97,0.7637795275590551
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_31900.pt,*checkpoint_iter_mixed_iter_31900.pt,31900,cpu,-3.966263001540332,100,0,0,0,0,100,0,132,98,16,18,0.7424242424242424,0.12121212121212122,0.13636363636363635,115,90,0.782608695652174,1.2408310492214616,100,0,0,0,0,100,0,117,95,12,10,0.811965811965812,0.10256410256410256,0.08547008547008547,111,91,0.8198198198198198
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32000.pt,*checkpoint_iter_mixed_iter_32000.pt,32000,cpu,-7.831548553275541,100,0,0,0,0,100,0,147,94,30,23,0.6394557823129252,0.20408163265306123,0.1564625850340136,124,84,0.6774193548387096,2.94576217975865,100,0,0,0,0,100,0,135,94,26,15,0.6962962962962963,0.1925925925925926,0.1111111111111111,128,91,0.7109375
